source,destination,distance
Rithala,Rohini West,2
Rohini West,Rohini East,2
Rohini East,Pitam Pura,2
Pitam Pura,Kohat Enclave,2
Kohat Enclave,Netaji Subhash Place,2
Netaji Subhash Place,Keshav Puram,2
Keshav Puram,Kanhaiya Nagar,2
Kanhaiya Nagar,Inderlok,2
Inderlok,Shastri Nagar,2
Shastri Nagar,Pratap Nagar,2
Pratap Nagar,Pul Bangash,2
Pul Bangash,Tis Hazari,2
Tis Hazari,Kashmere Gate,2
Chandni Chowk,Chawri Bazar,2
Chawri Bazar,New Delhi,2
New Delhi,Patel Chowk,2
Patel Chowk,Central Secretariat,2
Central Secretariat,Udyog Bhawan,2
Udyog Bhawan,Lok Kalyan Marg,2
Lok Kalyan Marg,Jor Bagh,2
Jor Bagh,INA,2
INA,AIIMS,2
AIIMS,Green Park,2
Green Park,Hauz Khas,2
Hauz Khas,Malviya Nagar,2
Malviya Nagar,Saket,2
Saket,Qutub Minar,2
Qutub Minar,Chhatarpur,2
Chhatarpur,Sultanpur,2
Sultanpur,Ghitorni,2
Ghitorni,Arjan Garh,2
Arjan Garh,Guru Dronacharya,2
Guru Dronacharya,Sikanderpur,2
Sikanderpur,MG Road,2
MG Road,IFFCO Chowk,2
IFFCO Chowk,Millennium City Centre Gurugram,2
Rajiv Chowk,Barakhamba Road,2
Barakhamba Road,Mandi House,2
Mandi House,Pragati Maidan,2
Pragati Maidan,Indraprastha,2
Indraprastha,Yamuna Bank,2
Yamuna Bank,Akshardham,2
Akshardham,Mayur Vihar Phase 1,2
Mayur Vihar Phase 1,Mayur Vihar Extension,2
Mayur Vihar Extension,New Ashok Nagar,2
New Ashok Nagar,Noida Sector 15,2
Noida Sector 15,Noida Sector 16,2
Kashmere Gate,Chandni Chowk,1
New Delhi,Rajiv Chowk,2
Central Secretariat,Mandi House,2
INA,Hauz Khas,3
Netaji Subhash Place,Inderlok,4
